seq;timestamp_ms;red;ir;red_corrected;ir_corrected
1;135093;40603;100950;-10.7880634283;-4.3962347307
2;135113;40616;100938;2.1427885969;-15.1056686268
3;135133;40603;100945;-12.05150315;-7.5421102066
4;135153;40612;100939;-0.7691659035;-14.2453033601
5;135173;40621;100933;8.087457182;-20.5521902303
6;135193;40606;100932;-7.9054708501;-20.737921796
7;135213;40597;100920;-16.5923445084;-32.6931107263
8;135233;40599;100916;-16.3343250711;-37.2274855714
9;135253;40588;100905;-25.3885384163;-47.1797950474
10;135276;40596;100902;-17.9724813046;-49.6520086552
11;135296;40577;100860;-36.0769319077;-91.4768688662
12;135316;40574;100846;-38.6170890185;-105.5474224454
13;135339;40575;100839;-37.7454632909;-111.4759927391
14;135349;40576;100847;-36.8887395249;-102.5819873255
15;135369;40558;100785;-53.5806458499;-163.8021935467
16;135399;40558;100788;-51.303303841;-160.5006371523
17;135409;40562;100759;-48.0416373047;-188.5751937854
18;135439;40553;100771;-56.5722228885;-176.1500100642
19;135459;40543;100725;-67.0559543971;-221.0859496596
20;135479;40533;100716;-77.6351991136;-228.5885708903
21;135499;40551;100699;-57.8298108938;-244.5222136957
22;135519;40549;100700;-59.1838927057;-242.8303133859
23;135534;40547;100694;-61.7633112155;-247.3388246709
24;135555;40535;100736;-73.4589547016;-202.9894699806
25;135575;40541;100723;-66.3168714154;-215.6710198643
26;135598;40540;100720;-66.7026927007;-218.3370178133
27;135613;40528;100714;-79.4401692691;-222.8035093096
28;135633;40534;100721;-74.1064299482;-213.5681843034
29;135653;40539;100719;-66.6080966594;-214.6678572185
30;135681;40541;100718;-62.5813015924;-215.4423196382
31;135691;40538;100704;-65.9241392566;-228.3501849652
32;135711;40529;100716;-76.1341464293;-214.6024404438
33;135733;40543;100705;-61.3249151961;-224.8006624685
34;135757;40535;100704;-67.8239258735;-224.1162781439
35;135777;40532;100689;-71.86464164;-237.3948493274
36;135800;40547;100709;-55.6266817283;-216.1355563432
37;135811;40523;100680;-79.1125630776;-243.9568596571
38;135831;40526;100713;-75.4853679543;-210.9965272753
39;135851;40526;100697;-74.5301552372;-225.6071568573
40;135877;40526;100704;-74.0928726137;-216.6826172187
41;135890;40531;100718;-68.3924216228;-201.7211074925
42;135910;40523;100705;-75.7307643908;-214.0698731775
43;135935;40525;100708;-74.0599894096;-209.8020929369
44;135960;40536;100701;-62.5079573582;-216.1190490922
45;135974;40524;100718;-73.6172583383;-198.5316986176
46;135994;40536;100720;-60.9685362594;-195.9671340503
47;136014;40537;100721;-59.3573528631;-193.0749852083
48;136035;40529;100707;-67.8171494569;-205.6228136816
49;136055;40524;100737;-73.7201829609;-175.2260219684
50;136076;40530;100765;-67.140912452;-146.9819978589
51;136096;40551;100817;-45.3985718408;-94.6317824529
52;136116;40563;100849;-34.3930285745;-62.2547565369
53;136137;40579;100870;-19.4289119884;-40.8619325007
54;136159;40581;100914;-16.091155433;3.4863213293
55;136169;40590;100897;-6.7166308813;-13.6351605894
56;136193;40598;100916;0.9945161544;5.1898110606
57;136205;40579;100897;-17.3676730136;-13.7680274635
58;136236;40579;100919;-18.0878153935;8.5849342843
59;136256;40587;100912;-11.4528893669;0.7798948505
60;136282;40591;100929;-6.4082736186;18.2970372118
61;136296;40587;100911;-10.5317658405;0.726190696
62;136319;40598;100906;0.6469603726;-4.4985357918
63;136330;40584;100908;-12.1754315108;-3.0622149625
64;136350;40587;100907;-8.2745351225;-4.5249522738
65;136380;40571;100890;-24.7337780396;-21.4687904592
66;136400;40580;100879;-17.4317552571;-31.3341302687
67;136420;40582;100862;-14.2260528774;-47.4552297675
68;136443;40579;100842;-17.4481453085;-67.9818704896
69;136460;40581;100852;-14.993812705;-58.0610986817
70;136479;40578;100895;-17.6908523521;-15.3717658061
71;136495;40514;100862;-81.8582102025;-48.0537130505
72;136517;40562;100842;-35.2973130307;-66.4907908022
73;136537;40568;100861;-27.909167589;-47.3123451082
74;136559;40565;100859;-29.7007756323;-49.2115960112
75;136570;40568;100850;-26.6853588148;-58.3012123352
76;136602;40563;100840;-30.5058831373;-67.8564560413
77;136620;40571;100845;-23.1396002901;-62.278138648
78;136631;40554;100840;-40.5923160709;-66.9294009753
79;136659;40557;100850;-37.2827636811;-57.1486014147
80;136679;40559;100845;-36.21437354;-61.2969250657
81;136700;40527;100836;-67.8664081678;-70.1162965611
82;136720;40570;100820;-24.056234563;-86.3242893563
83;136730;40559;100801;-34.8350201228;-104.86763891
84;136753;40573;100865;-20.4232466345;-40.0603942256
85;136768;40568;100841;-26.1601607727;-63.5755684452
86;136795;40569;100839;-25.1031575775;-65.6990951878
87;136817;40558;100848;-34.8017342308;-56.4473488719
88;136837;40559;100850;-34.0193230871;-53.8744744905
89;136857;40577;100851;-15.6909246039;-52.5624364885
90;136877;40560;100863;-32.3669807399;-40.6575243069
91;136895;40579;100870;-13.8205098951;-32.9116374782
92;136906;40572;100859;-20.6830785822;-43.8186955928
93;136937;40560;100870;-31.6454153923;-33.2086373161
94;136959;40575;100880;-17.2550656049;-22.9638430411
95;136982;40568;100868;-24.0882546161;-34.27933862
96;136992;40573;100883;-18.7037067157;-19.1894939212
97;137012;40570;100885;-21.8965457698;-17.5626323596
98;137038;40577;100880;-14.4300855292;-22.3479114925
99;137053;40573;100880;-18.6595295936;-22.1083485121
100;137072;40589;100889;-2.8834997872;-12.9496180202
101;137100;40575;100879;-16.8474152976;-23.0146561925
102;137120;40575;100894;-15.6890390784;-8.1206628496
103;137140;40573;100927;-17.9554075533;25.1702344793
104;137160;40580;100920;-11.4126731713;18.1509510638
105;137180;40565;100927;-26.4681521214;24.663302108
106;137193;40568;100910;-23.603043174;7.536750059
107;137215;40570;100884;-21.2159306769;-18.2552364502
108;137235;40568;100908;-22.5128242919;5.6512118642
109;137260;40573;100887;-17.4607789918;-15.0652885443
110;137280;40598;100893;6.7943707298;-8.9626185374
111;137301;40573;100899;-17.5577521494;-3.1799996923
112;137321;40569;100883;-21.6600261579;-19.1154186926
113;137331;40569;100855;-21.3296369202;-46.8167879881
114;137364;40576;100871;-13.991369899;-30.7575857865
115;137386;40584;100862;-6.4999604667;-39.720399709
116;137396;40572;100821;-18.634614826;-80.1654471718
117;137417;40586;100867;-4.4574394957;-33.6720814237
118;137438;40574;100863;-16.1916304844;-37.6009297542
119;137459;40568;100866;-21.6566716782;-34.956655167
120;137480;40564;100868;-26.3520769426;-32.5134532059
121;137493;40547;100861;-43.0723226668;-39.0828716111
122;137519;40567;100871;-23.3231171305;-28.9598917932
123;137539;40579;100868;-11.2960863365;-32.0838235537
124;137559;40562;100888;-27.8944885937;-12.257916544
125;137571;40574;100875;-15.7434048119;-24.9433756311
126;137593;40573;100872;-16.6165152159;-27.4309069
127;137617;40571;100878;-18.1063012837;-21.3013791873
128;137640;40575;100874;-14.0865472637;-25.4373211939
129;137663;40580;100870;-9.6260993202;-29.3115220674
130;137682;40572;100881;-17.7579516576;-18.0666075813
131;137693;40558;100883;-31.4997816807;-16.0689166572
132;137717;40571;100882;-18.5450011823;-17.2657581185
133;137738;40560;100892;-29.3907031973;-7.1369443024
134;137759;40573;100887;-16.0889707967;-11.675915178
135;137780;40592;100876;1.9277544579;-22.7136025713
136;137795;40572;100889;-17.1643539773;-10.3221173749
137;137822;40577;100890;-11.8672013048;-8.7708234097
138;137845;40565;100880;-23.8113607131;-18.7883576088
139;137858;40565;100896;-23.6136504408;-3.1492338573
140;137879;40570;100901;-18.456007952;2.3407471266
141;137900;40565;100894;-24.084716976;-4.44964239
142;137921;40594;100887;5.3132083353;-11.9452115408
143;137932;40576;100923;-12.0968078025;23.752262412
144;137965;40591;100906;2.6094991554;6.8717673313
145;137985;40575;100895;-13.3018918165;-4.1628951138
146;138004;40576;100913;-12.1711934283;13.561630183
147;138014;40591;100904;2.562366066;4.5492759902
148;138035;40593;100922;3.9301246731;23.112776943
149;138056;40591;100919;2.4940469044;20.0601298057
150;138077;40593;100937;3.8227177784;37.6167503183
151;138100;40593;100945;3.6269987741;45.4305560561
152;138116;40580;100950;-9.1099875136;50.1958196675
153;138134;40588;100954;-1.2209757131;53.8461600146
154;138162;40600;100963;10.8978756719;62.5327135138
155;138173;40599;100908;9.5451008403;7.4982379709
156;138198;40595;100949;5.849026987;48.4965709569
157;138218;40598;100947;8.5522614305;46.2038507806
158;138234;40596;100946;6.7535329577;44.7980032642
159;138266;40596;100941;7.1297821631;39.6050688317
160;138289;40588;100905;-0.7749589866;3.6218140796
161;138304;40593;100933;4.5746629299;31.45400359
162;138315;40598;100927;8.551695198;25.4370598434
163;138338;40598;100923;8.0816268218;21.2604292387
164;138360;40601;100942;11.651163582;39.8179383292
165;138382;40591;100921;0.8884436336;18.6972852244
166;138394;40572;100931;-17.1164801877;28.9513705021
167;138419;40594;100945;4.8522586935;42.5123015018
168;138434;40595;100941;5.4249307222;38.0574260223
169;138463;40598;100958;7.4498372985;55.1172151091
170;138473;40598;100969;7.5348745049;65.7013665377
171;138494;40600;100967;9.0242374459;63.3717905321
172;138515;40586;100962;-4.7436807622;57.6058262884
173;138538;40602;100957;11.7977630224;52.6338478598
174;138570;40601;100965;10.4559525299;60.6192147096
175;138584;40588;100963;-2.6422478849;57.9142384523
176;138597;40591;100958;0.0352415929;52.336000284
177;138620;40606;100970;14.902505017;64.0799109621
178;138642;40602;100963;10.7759519211;57.027407558
179;138653;40571;100975;-19.6367226461;68.7421043288
180;138676;40601;100971;10.5669259026;64.5681548296
181;138696;40609;100966;17.8000893246;59.0232705004
182;138719;40610;100982;18.3453209783;74.4853761931
183;138738;40593;100971;1.2420053334;63.4263703871
184;138764;40594;100963;2.5381896846;55.1098999027
185;138775;40602;100919;10.564760784;11.1608799758
186;138797;40608;100976;16.445672692;67.6606595985
187;138818;40621;100990;29.3895888578;80.8383014577
188;138830;40607;100984;15.1351053052;74.4594224652
189;138850;40609;100959;16.460169381;49.5592044053
190;138886;40601;100977;7.5888307296;67.3043880217
191;138897;40638;100991;44.8535507871;80.6518894937
192;138919;40597;100978;3.6089506357;67.1606018623
193;138940;40594;100982;0.2060244657;71.0009811523
194;138960;40609;100982;15.4360228225;70.7158694915
195;138983;40611;100984;16.7302130251;72.2253812356
196;138994;40594;100981;-0.0231692078;68.7704595285
197;139021;40610;100986;17.2408839862;73.5044383869
198;139047;40606;100976;12.9379544135;63.3921273791
199;139058;40610;100986;16.7483591337;72.9273285974
200;139078;40629;100987;36.0472399935;73.4639817302
201;139098;40606;100962;12.8233685921;48.1625045982
202;139118;40609;100973;15.6430245191;58.8694647103
203;139142;40604;100974;10.6541278413;60.0055959239
204;139153;40605;100968;11.4660541965;53.5261968708
205;139171;40612;100967;18.6408557135;51.726656029
206;139191;40627;100984;32.8861605321;68.5494815807
207;139226;40601;100984;6.5413475503;68.5657120817
